Class,Word,Count,Probability
neg,sonja,1,2.96972954673e-06
neg,askew,4,1.18789181869e-05
neg,woods,54,0.000160365395523
neg,spiders,1,2.96972954673e-06
neg,bazooms,1,2.96972954673e-06
neg,hanging,37,0.000109879993229
neg,francesca,3,8.90918864019e-06
neg,comically,5,1.48486477337e-05
neg,disobeying,1,2.96972954673e-06
neg,hennings,2,5.93945909346e-06
neg,canet,1,2.96972954673e-06
neg,originality,34,0.000100970804589
neg,caned,1,2.96972954673e-06
neg,rickman,4,1.18789181869e-05
neg,stipulate,1,2.96972954673e-06
neg,rawhide,1,2.96972954673e-06
neg,bringing,25,7.42432386683e-05
neg,unsworth,1,2.96972954673e-06
neg,liaisons,8,2.37578363738e-05
neg,wooden,27,8.01826977617e-05
neg,wednesday,1,2.96972954673e-06
neg,broiled,1,2.96972954673e-06
neg,circuitry,3,8.90918864019e-06
neg,crotch,8,2.37578363738e-05
neg,stereotypical,31,9.20616159486e-05
neg,shows,168,0.000498914563851
neg,gavan,1,2.96972954673e-06
neg,rebuilding,1,2.96972954673e-06
neg,snuggles,1,2.96972954673e-06
neg,francesco,1,2.96972954673e-06
neg,miniatures,2,5.93945909346e-06
neg,woody,45,0.000133637829603
neg,consenting,1,2.96972954673e-06
neg,inanimate,3,8.90918864019e-06
neg,errors,5,1.48486477337e-05
neg,cooking,15,4.4545943201e-05
neg,opportunists,1,2.96972954673e-06
neg,islamic,1,2.96972954673e-06
neg,joely,6,1.78183772804e-05
neg,designing,3,8.90918864019e-06
neg,numeral,1,2.96972954673e-06
neg,succumb,3,8.90918864019e-06
neg,shocks,3,8.90918864019e-06
neg,chins,2,5.93945909346e-06
neg,jubilantly,1,2.96972954673e-06
neg,rocque,2,5.93945909346e-06
neg,china,18,5.34551318411e-05
neg,shandling,16,4.75156727477e-05
neg,confronts,9,2.67275659206e-05
neg,wiseguy,5,1.48486477337e-05
neg,natured,8,2.37578363738e-05
neg,kids,158,0.000469217268383
neg,uplifting,3,8.90918864019e-06
neg,controversy,4,1.18789181869e-05
neg,spotty,2,5.93945909346e-06
neg,appropriately,13,3.86064841075e-05
neg,cobblers,1,2.96972954673e-06
neg,projection,1,2.96972954673e-06
neg,lengthen,1,2.96972954673e-06
neg,unsinkable,1,2.96972954673e-06
neg,stern,12,3.56367545608e-05
neg,kethcum,1,2.96972954673e-06
neg,dna,9,2.67275659206e-05
neg,catchy,6,1.78183772804e-05
neg,insecurity,2,5.93945909346e-06
neg,music,195,0.000579097261612
neg,therefore,32,9.50313454954e-05
neg,magyuver,1,2.96972954673e-06
neg,deloreans,1,2.96972954673e-06
neg,yahoo,8,2.37578363738e-05
neg,faceted,1,2.96972954673e-06
neg,exuberantly,1,2.96972954673e-06
neg,boorman,16,4.75156727477e-05
neg,foregrounds,1,2.96972954673e-06
neg,voicework,1,2.96972954673e-06
neg,circumstances,20,5.93945909346e-05
neg,morally,2,5.93945909346e-06
neg,locked,9,2.67275659206e-05
neg,daqughter,1,2.96972954673e-06
neg,locker,3,8.90918864019e-06
neg,locket,1,2.96972954673e-06
neg,gershon,7,2.07881068271e-05
neg,matilda,8,2.37578363738e-05
neg,wang,1,2.96972954673e-06
neg,wane,1,2.96972954673e-06
neg,unjust,2,5.93945909346e-06
neg,pooper,1,2.96972954673e-06
neg,want,294,0.000873100486739
neg,absolute,18,5.34551318411e-05
neg,vicent,1,2.96972954673e-06
neg,beyer,3,8.90918864019e-06
neg,travel,29,8.61221568552e-05
neg,copious,4,1.18789181869e-05
neg,playback,1,2.96972954673e-06
neg,dangerfield,5,1.48486477337e-05
neg,dared,3,8.90918864019e-06
neg,prostitues,1,2.96972954673e-06
neg,cadence,1,2.96972954673e-06
neg,dinosaurs,12,3.56367545608e-05
neg,wrong,210,0.000623643204813
neg,glenne,3,8.90918864019e-06
neg,recombination,1,2.96972954673e-06
neg,subplots,39,0.000115819452322
neg,sickening,9,2.67275659206e-05
neg,tulip,4,1.18789181869e-05
neg,perpetrator,6,1.78183772804e-05
neg,nonsensical,8,2.37578363738e-05
neg,disengaging,1,2.96972954673e-06
neg,kuei,3,8.90918864019e-06
neg,welcomed,1,2.96972954673e-06
neg,concurrence,1,2.96972954673e-06
neg,stoicism,1,2.96972954673e-06
neg,whizzing,1,2.96972954673e-06
neg,sidekicks,3,8.90918864019e-06
neg,rewarded,3,8.90918864019e-06
neg,welcomes,1,2.96972954673e-06
neg,wickedly,4,1.18789181869e-05
neg,fit,34,0.000100970804589
neg,screaming,33,9.80010750421e-05
neg,fix,17,5.04854022944e-05
neg,fig,1,2.96972954673e-06
neg,zucker,8,2.37578363738e-05
neg,songwriter,3,8.90918864019e-06
neg,municipality,1,2.96972954673e-06
neg,effects,333,0.000988919939061
neg,multidimensional,1,2.96972954673e-06
neg,sixteen,4,1.18789181869e-05
neg,undeveloped,8,2.37578363738e-05
neg,saddened,1,2.96972954673e-06
neg,whacking,2,5.93945909346e-06
neg,barton,1,2.96972954673e-06
neg,foregin,1,2.96972954673e-06
neg,frewer,1,2.96972954673e-06
neg,arrow,13,3.86064841075e-05
neg,ingrid,2,5.93945909346e-06
neg,telescope,1,2.96972954673e-06
neg,allan,4,1.18789181869e-05
neg,touts,1,2.96972954673e-06
neg,oprah,2,5.93945909346e-06
neg,smirk,6,1.78183772804e-05
neg,scrumptiously,1,2.96972954673e-06
neg,nordoff,1,2.96972954673e-06
neg,mason,8,2.37578363738e-05
neg,encourage,8,2.37578363738e-05
neg,adapt,1,2.96972954673e-06
neg,zellwegger,2,5.93945909346e-06
neg,outburst,1,2.96972954673e-06
neg,abbott,1,2.96972954673e-06
neg,pumpkins,1,2.96972954673e-06
neg,estimate,1,2.96972954673e-06
neg,universally,5,1.48486477337e-05
neg,chlorine,1,2.96972954673e-06
neg,reiser,2,5.93945909346e-06
neg,sickeningly,2,5.93945909346e-06
neg,disturbed,11,3.2667025014e-05
neg,dentures,1,2.96972954673e-06
neg,loudness,1,2.96972954673e-06
neg,juergen,1,2.96972954673e-06
neg,disfigured,2,5.93945909346e-06
neg,kfc,1,2.96972954673e-06
neg,davidovitch,1,2.96972954673e-06
neg,olds,14,4.15762136542e-05
neg,service,24,7.12735091215e-05
neg,needed,67,0.000198971879631
neg,master,39,0.000115819452322
neg,genesis,1,2.96972954673e-06
neg,caitlyn,2,5.93945909346e-06
neg,rewards,4,1.18789181869e-05
neg,doreen,1,2.96972954673e-06
neg,mutilated,4,1.18789181869e-05
neg,positively,5,1.48486477337e-05
neg,ahmed,15,4.4545943201e-05
neg,handcuffs,2,5.93945909346e-06
neg,idly,1,2.96972954673e-06
neg,idle,12,3.56367545608e-05
neg,exclaimed,1,2.96972954673e-06
neg,friend,181,0.000537521047958
neg,feeling,95,0.000282124306939
neg,longs,4,1.18789181869e-05
neg,sustaining,2,5.93945909346e-06
neg,spectrum,1,2.96972954673e-06
neg,longo,2,5.93945909346e-06
neg,dozen,29,8.61221568552e-05
neg,affairs,10,2.96972954673e-05
neg,wholesome,4,1.18789181869e-05
neg,courier,4,1.18789181869e-05
neg,uncouth,1,2.96972954673e-06
neg,committing,5,1.48486477337e-05
neg,limitless,2,5.93945909346e-06
neg,vexing,1,2.96972954673e-06
neg,cinematic,63,0.000187092961444
neg,resonates,1,2.96972954673e-06
neg,disjointed,6,1.78183772804e-05
neg,mouth,52,0.00015442593643
neg,expound,1,2.96972954673e-06
neg,singer,42,0.000124728640963
neg,tech,14,4.15762136542e-05
neg,keeble,3,8.90918864019e-06
neg,rayden,5,1.48486477337e-05
neg,scream,117,0.000347458356967
neg,saying,90,0.000267275659206
neg,teresa,5,1.48486477337e-05
neg,loitered,1,2.96972954673e-06
neg,padded,2,5.93945909346e-06
neg,tempted,8,2.37578363738e-05
neg,cheaply,3,8.90918864019e-06
neg,thai,1,2.96972954673e-06
neg,hounded,1,2.96972954673e-06
neg,orleans,2,5.93945909346e-06
neg,clicked,1,2.96972954673e-06
neg,rico,3,8.90918864019e-06
neg,bliss,3,8.90918864019e-06
neg,rick,26,7.7212968215e-05
neg,rich,68,0.000201941609178
neg,rice,4,1.18789181869e-05
neg,videodrome,2,5.93945909346e-06
neg,incongruent,1,2.96972954673e-06
neg,platt,12,3.56367545608e-05
neg,clumsiness,2,5.93945909346e-06
neg,altogether,20,5.93945909346e-05
